t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
2.149,11,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.39981490912782,False,0.3908526301383972,-0.6392877697944641,-0.5950817465782166,,,,-9.63,False,,,"{""telemetry"": 1.2, ""graph"": 144.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.354,12,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.421376239887184,False,0.4079537093639374,-0.6596473455429077,-0.580769956111908,,,,-0.75,False,,,"{""telemetry"": 1.8, ""graph"": 147.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.52,13,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.43267389135859,False,0.4149617552757263,-0.6649524569511414,-0.574725866317749,,,,6.65,False,,,"{""telemetry"": 1.1, ""graph"": 114.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.723,14,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.437921026017683,False,0.41521134972572327,-0.6607398986816406,-0.5678028464317322,,,,14.88,False,,,"{""telemetry"": 0.8, ""graph"": 117.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.923,15,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.447861216328214,False,0.41114306449890137,-0.6519002914428711,-0.5574547648429871,,,,22.51,False,,,"{""telemetry"": 0.9, ""graph"": 116.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.111,16,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.457015434836432,False,0.4068939685821533,-0.6437172293663025,-0.5495774745941162,,,,29.23,False,,,"{""telemetry"": 0.7, ""graph"": 104.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.367,17,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.46437917275868,False,0.4021766185760498,-0.6347662806510925,-0.5408495664596558,,,,37.32,False,,,"{""telemetry"": 1.1, ""graph"": 159.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.501,18,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.4704513992509,False,0.40021389722824097,-0.6309688687324524,-0.5372637510299683,,,,41.8,False,,,"{""telemetry"": 1.6, ""graph"": 92.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.71,19,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.475198156850812,False,0.3980032801628113,-0.6265142560005188,-0.5323001146316528,,,,48.03,False,,,"{""telemetry"": 0.7, ""graph"": 102.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.933,20,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.479359760305602,False,0.39638352394104004,-0.6230711340904236,-0.5279788970947266,,,,53.68,False,,,"{""telemetry"": 0.7, ""graph"": 124.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.107,21,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.482833946123556,False,0.3954736292362213,-0.6210326552391052,-0.525195837020874,,,,57.9,False,,,"{""telemetry"": 0.8, ""graph"": 98.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.296,22,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.48570378652414,False,0.3947567343711853,-0.6193417906761169,-0.5225609540939331,,,,62.12,False,,,"{""telemetry"": 0.7, ""graph"": 87.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.536,23,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.48818185455988,False,0.3941362798213959,-0.6177926063537598,-0.5197870135307312,,,,66.83,False,,,"{""telemetry"": 0.9, ""graph"": 126.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.691,24,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.490249777898782,False,0.3938421607017517,-0.6170186400413513,-0.5183008909225464,,,,69.99,False,,,"{""telemetry"": 0.9, ""graph"": 81.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.908,25,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.491989440469386,False,0.3935536742210388,-0.6162191033363342,-0.5164250135421753,,,,73.85,False,,,"{""telemetry"": 1.1, ""graph"": 98.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.129,26,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.493549679760427,False,0.3933491110801697,-0.6156225800514221,-0.5147885680198669,,,,77.3,False,,,"{""telemetry"": 0.8, ""graph"": 119.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.315,27,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.494896469293128,False,0.3932267725467682,-0.6152514219284058,-0.5108020901679993,,,,79.87,False,,,"{""telemetry"": 0.8, ""graph"": 104.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.579,28,slm,TOWNSIM_INI,1,evasive,EVADIR_DERECHA,0,29.5076066844316,False,0.3931337594985962,-0.6149612665176392,-0.4952847361564636,,,,81.22,False,,,"{""telemetry"": 0.7, ""graph"": 167.8}",False,,,,,,,,,0.004,2.44,1.0,True,0.0,17.41,1.0,False,0.001,23.45,1.0,False
5.784,29,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.522918409119423,False,0.3931294083595276,-0.6142359972000122,-0.4908890724182129,,,,82.01,False,,,"{""telemetry"": 0.9, ""graph"": 172.4}",False,,,,,,,,,0.0,23.53,0.674,False,0.0,36.17,0.674,False,0.001,47.43,0.674,False
5.962,30,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.44987136327355,False,0.3963465690612793,-0.59153151512146,-0.6207277774810791,,,,83.54,False,,,"{""telemetry"": 0.8, ""graph"": 150.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.119,31,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.254537307570082,False,0.4077102839946747,-0.5083111524581909,-0.8314180970191956,,,,85.93,False,,,"{""telemetry"": 0.9, ""graph"": 106.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.329,32,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.123282141784202,False,0.42265480756759644,-0.39670008420944214,-0.8870386481285095,,,,88.77,False,,,"{""telemetry"": 1.1, ""graph"": 116.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.531,33,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.124632218484166,False,0.4358252286911011,-0.2986923158168793,-0.8740715384483337,,,,103.49,False,,,"{""telemetry"": 1.0, ""graph"": 117.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.705,34,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.13650265177599,False,0.44522395730018616,-0.2294830083847046,-0.8642139434814453,,,,122.39,False,,,"{""telemetry"": 0.8, ""graph"": 91.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.924,35,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.146458994597815,False,0.4545883536338806,-0.16075992584228516,-0.8537447452545166,,,,150.03,False,,,"{""telemetry"": 0.9, ""graph"": 110.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.125,36,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.155082865900603,False,0.4611613154411316,-0.11193546652793884,-0.844680905342102,,,,172.44,False,,,"{""telemetry"": 1.0, ""graph"": 110.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.337,37,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.168327443289936,False,0.46620944142341614,-0.07361269742250443,-0.826099157333374,,,,-179.74,False,,,"{""telemetry"": 1.0, ""graph"": 122.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.54,38,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.181740371859807,False,0.4696683883666992,-0.046894025057554245,-0.8199783563613892,,,,175.39,False,,,"{""telemetry"": 1.2, ""graph"": 125.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.718,39,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.185392795857872,False,0.47197091579437256,-0.029041552916169167,-0.81722491979599,,,,168.52,False,,,"{""telemetry"": 0.9, ""graph"": 102.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.913,40,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.188847822809077,False,0.47392356395721436,-0.013968545012176037,-0.8094366192817688,,,,163.84,False,,,"{""telemetry"": 0.8, ""graph"": 97.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.157,41,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.20477614550831,False,0.4757187068462372,-0.00017539819236844778,-0.7898181080818176,,,,161.42,False,,,"{""telemetry"": 0.8, ""graph"": 140.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.481,42,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,29.219712672361478,False,0.47682392597198486,0.008284150622785091,-0.7762712836265564,,,,160.6,False,,,"{""telemetry"": 0.7, ""graph"": 264.0}",False,,,,,,,,,0.0,18.27,1.0,False,0.0,11.47,1.0,False,0.005,2.0,1.0,True
8.674,43,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,29.23517205043807,False,0.47733333706855774,0.014864088967442513,-0.7733849883079529,,,,160.12,False,,,"{""telemetry"": 2.1, ""graph"": 187.3}",False,,,,,,,,,0.0,4.37,0.45,False,0.0,17.03,0.45,False,0.0,41.58,0.449,False
8.867,44,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,29.16188311181112,False,0.45401862263679504,0.027438266202807426,-0.9163338541984558,,,,158.58,False,,,"{""telemetry"": 0.9, ""graph"": 180.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.119,45,slm,TOWNSIM_INI,1,deliberative,FRENAR,0,28.97828769472181,False,0.38653209805488586,0.05471118539571762,-1.107780933380127,,,,157.41,False,,,"{""telemetry"": 1.0, ""graph"": 232.8}",False,,,,,,,,,0.013,3.89,0.199,False,0.015,0.68,0.199,False,0.02,0.51,0.199,False
9.264,46,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.806954318772174,False,0.2877412438392639,0.09286236763000488,-1.2131725549697876,,,,170.85,False,,,"{""telemetry"": 1.1, ""graph"": 140.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.424,47,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.7960579104606,False,0.224093496799469,0.11738418787717819,-1.1959214210510254,,,,178.36,False,,,"{""telemetry"": 0.7, ""graph"": 101.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.647,48,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.815113705636815,False,0.15753841400146484,0.14307014644145966,-1.179459571838379,,,,-162.33,False,,,"{""telemetry"": 1.2, ""graph"": 123.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.879,49,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.8265888518031,False,0.10536768287420273,0.16317838430404663,-1.1671826839447021,,,,-134.07,False,,,"{""telemetry"": 0.9, ""graph"": 155.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.074,50,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.836373529751576,False,0.0770382359623909,0.17402270436286926,-1.1597315073013306,,,,-112.04,False,,,"{""telemetry"": 0.9, ""graph"": 150.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.26,51,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.844486256720714,False,0.05085225775837898,0.1839434951543808,-1.1493514776229858,,,,-93.65,False,,,"{""telemetry"": 1.4, ""graph"": 135.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.415,52,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.859993605713193,False,0.03472441807389259,0.18999147415161133,-1.1345709562301636,,,,-89.61,False,,,"{""telemetry"": 1.4, ""graph"": 89.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.606,53,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.870451748430746,False,0.01969750225543976,0.1955881267786026,-1.129273533821106,,,,-94.33,False,,,"{""telemetry"": 1.0, ""graph"": 80.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.865,54,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.873077615032184,False,0.005261986516416073,0.2009541243314743,-1.126354694366455,,,,-103.69,False,,,"{""telemetry"": 1.1, ""graph"": 139.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.016,55,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.875191553025022,False,-0.0011595964897423983,0.20334641635417938,-1.1228829622268677,,,,-106.35,False,,,"{""telemetry"": 1.0, ""graph"": 89.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.274,56,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.888320051690116,False,-0.00758595485240221,0.20574553310871124,-1.1070142984390259,,,,-107.86,False,,,"{""telemetry"": 1.0, ""graph"": 147.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.497,57,slm,TOWNSIM_INI,1,deliberative,FRENAR,0,28.903776652502533,False,-0.0124314920976758,0.2075577825307846,-1.0929309129714966,,,,-108.54,False,,,"{""telemetry"": 0.8, ""graph"": 170.7}",False,,,,,,,,,0.0,33.21,1.0,False,0.0,19.66,1.0,False,0.001,4.52,1.0,False
11.712,58,slm,TOWNSIM_INI,1,deliberative,FRENAR,0,28.916202637622103,False,-0.016463128849864006,0.2090674191713333,-1.0801688432693481,,,,-108.88,False,,,"{""telemetry"": 1.8, ""graph"": 183.9}",False,,,,,,,,,0.0,49.68,0.78,False,0.0,13.22,0.78,False,0.0,28.74,0.779,False
11.891,59,slm,TOWNSIM_INI,1,deliberative,FRENAR,0,28.92645323076843,False,-0.01908215694129467,0.21004877984523773,-1.0711309909820557,,,,-109.01,False,,,"{""telemetry"": 0.8, ""graph"": 163.6}",False,,,,,,,,,0.0,55.55,0.363,False,0.0,29.98,0.354,False,0.0,65.07,0.347,False
12.071,60,slm,TOWNSIM_INI,1,deliberative,FRENAR,0,28.93478920566901,False,-0.021089574322104454,0.21080125868320465,-1.0635998249053955,,,,-109.07,False,,,"{""telemetry"": 0.9, ""graph"": 143.2}",False,,,,,,,,,0.0,50.66,0.161,False,0.0,,0.139,False,0.0,,0.128,False
12.288,61,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.941499203472436,False,-0.022719809785485268,0.2114124894142151,-1.0568965673446655,,,,-109.09,False,,,"{""telemetry"": 1.2, ""graph"": 159.9}",False,,,,,,,,,0.0,,0.062,False,0.0,,0.044,False,0.0,,0.033,False
12.511,62,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.947087568371977,False,-0.02394726127386093,0.21187283098697662,-1.0466501712799072,,,,-107.57,False,,,"{""telemetry"": 0.7, ""graph"": 182.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.635,63,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.964019105343784,False,-0.024727819487452507,0.21216517686843872,-1.034087896347046,,,,-95.49,False,,,"{""telemetry"": 0.8, ""graph"": 106.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.818,64,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.967652775747695,False,-0.025310255587100983,0.21238236129283905,-1.032806396484375,,,,-76.13,False,,,"{""telemetry"": 0.9, ""graph"": 88.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.012,65,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.96853944637386,False,-0.025775564834475517,0.21255409717559814,-1.0320101976394653,,,,-52.0,False,,,"{""telemetry"": 1.0, ""graph"": 81.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.249,66,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.969321537708208,False,-0.0261969156563282,0.21270735561847687,-1.0310944318771362,,,,-20.37,False,,,"{""telemetry"": 1.6, ""graph"": 117.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.441,67,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.970311177468954,False,-0.026447221636772156,0.2127968668937683,-1.0267901420593262,,,,-3.09,False,,,"{""telemetry"": 1.1, ""graph"": 110.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.618,68,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.982406367726526,False,-0.02662542462348938,0.21285977959632874,-1.0141202211380005,,,,0.73,False,,,"{""telemetry"": 0.9, ""graph"": 87.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.828,69,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.987208936018135,False,-0.02677989937365055,0.2129138857126236,-1.0143673419952393,,,,-5.38,False,,,"{""telemetry"": 1.7, ""graph"": 95.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.053,70,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.985061395504097,False,-0.02690298669040203,0.21295689046382904,-1.0166430473327637,,,,-13.7,False,,,"{""telemetry"": 1.5, ""graph"": 120.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.242,71,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.983700868746773,False,-0.02698194608092308,0.21298451721668243,-1.0115888118743896,,,,-16.95,False,,,"{""telemetry"": 0.8, ""graph"": 109.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.488,72,slm,TOWNSIM_INI,1,deliberative,ESCANEO,0,28.99856467477295,False,-0.027039773762226105,0.21300479769706726,-0.9964393973350525,,,,-18.31,False,,,"{""telemetry"": 0.9, ""graph"": 155.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.776,73,slm,TOWNSIM_INI,1,deliberative,EVADIR_IZQUIERDA,0,29.013755047035158,False,-0.027089709416031837,0.21302229166030884,-0.9817513823509216,,,,-19.02,False,,,"{""telemetry"": 0.8, ""graph"": 200.2}",True,3796.5,False,False,True,"SECTORES VISUALES:
- IZQUIERDA: DESPEJADO
- CENTRO: DESPEJADO
- DERECHA: DESPEJADO

OBJETIVO Y ALTITUD:
- Meta (WP_0_ASCENSO): 29.0m hacia Derecha (+28°)
- Altitud actual: 1.1m (Cota segura: 10.0m)
- AVISO: el dron lleva 10 ciclos sin progresar hacia el waypoint. Si los 3 sectores están bloqueados, elige GANAR_ALTURA en lugar de seguir girando.

INSTRUCCION:
Elige la macro_action ('EVADIR_IZQUIERDA', 'EVADIR_DERECHA', 'GANAR_ALTURA' o 'MANTENER_RUMBO').
Responde SOLO con este JSON:
{""macro_action"": ""<ACCION>"", ""rationale"": ""<motivo corto>""}","{""macro_action"": ""EVADIR_IZQUIERDA"", ""rationale"": ""Sector izquierdo libre, avanzar hacia el waypoint.""}",1,photo-20260903T150758.840Z.png,0.0,35.68,1.0,False,0.0,17.71,1.0,False,0.001,6.01,1.0,False
14.943,74,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,29.02836551917588,False,-0.02689330279827118,0.21295346319675446,-0.977912187576294,,,,-19.45,False,,,"{""telemetry"": 0.8, ""graph"": 163.8}",False,,,,,,,,,0.0,,0.14,False,0.0,,0.14,False,0.0,,0.14,False
15.149,75,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,28.95092981961146,False,-0.01122566033154726,0.20746050775051117,-1.1179344654083252,,,,-20.95,False,,,"{""telemetry"": 1.4, ""graph"": 169.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.288,76,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,28.781151172617236,False,0.03229964151978493,0.19220896065235138,-1.2974698543548584,,,,-23.37,False,,,"{""telemetry"": 0.8, ""graph"": 107.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.477,77,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,28.608041766792216,False,0.09356577694416046,0.17076033353805542,-1.4562407732009888,,,,-25.89,False,,,"{""telemetry"": 1.0, ""graph"": 96.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.71,78,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,28.441189157603656,False,0.19385956227779388,0.1356837898492813,-1.649439811706543,,,,-29.2,False,,,"{""telemetry"": 0.8, ""graph"": 129.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.89,79,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.277469881100842,False,0.2866189181804657,0.10326989740133286,-1.7977548837661743,,,,-31.85,False,,,"{""telemetry"": 1.1, ""graph"": 108.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
16.092,80,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.116137223981006,False,0.3984045386314392,0.06423375755548477,-1.9254754781723022,,,,-34.79,False,,,"{""telemetry"": 0.8, ""graph"": 110.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
16.286,81,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.078153165495895,False,0.5023081302642822,0.028336992487311363,-1.9146531820297241,,,,-39.18,False,,,"{""telemetry"": 0.8, ""graph"": 104.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
16.504,82,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.104092806458834,False,0.5974317789077759,-0.0032281382009387016,-1.8910013437271118,,,,-45.13,False,,,"{""telemetry"": 1.9, ""graph"": 120.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
